Theo	O	O=0.9999235163893447	ORGANIZATION=1.3099361718561561E-5	PERSON=5.0743193818048876E-5	LOCATION=1.2603118382560071E-5	PERSON =3.793673126836457E-8
ông	O	O=0.9999257219932874	ORGANIZATION=5.103922194902594E-5	PERSON=1.0105643620863518E-5	LOCATION=1.1648556283981304E-5	PERSON =1.4845848535337235E-6
John	O	O=1.8263002919897083E-4	ORGANIZATION=5.770302344630145E-4	PERSON=0.9990131140514065	LOCATION=2.2639159407489436E-4	PERSON =8.340908409953143E-7
Rockhold	O	O=0.0019769658299967994	ORGANIZATION=0.001148647218417395	PERSON=0.9962730272452829	LOCATION=5.64567503463142E-4	PERSON =3.6792202822742125E-5
thì	O	O=0.9999378042219558	ORGANIZATION=5.513188952294922E-5	PERSON=5.904287790548623E-6	LOCATION=2.243149482273987E-7	PERSON =9.352857706490871E-7
thị	O	O=0.9959365853609725	ORGANIZATION=0.004022391864384498	PERSON=1.1848313348681827E-6	LOCATION=3.79677171157254E-5	PERSON =1.8702261768066026E-6
trường	O	O=0.9569127131487777	ORGANIZATION=0.04214580666333566	PERSON=1.2008001848993456E-5	LOCATION=9.25226221354743E-4	PERSON =4.245964683092342E-6
Việt	O	O=0.02769417739105012	ORGANIZATION=0.054571796014186914	PERSON=0.001131861818115929	LOCATION=0.9165965685154192	PERSON =5.59626122813799E-6
Nam	O	O=0.027772872083117697	ORGANIZATION=0.05582930340837026	PERSON=0.0016495220037154425	LOCATION=0.9147062205356405	PERSON =4.208196915433243E-5
ẩn	O	O=0.9958325095830723	ORGANIZATION=4.088773314191342E-4	PERSON=2.7164882971688705E-5	LOCATION=0.00370781021392598	PERSON =2.3637988602663742E-5
chứa	O	O=0.9993357661948177	ORGANIZATION=8.014430921618552E-5	PERSON=7.467791938537397E-7	LOCATION=5.821791082481699E-4	PERSON =1.1636085196325907E-6
nhiều	O	O=0.9999894350113901	ORGANIZATION=6.698351538572984E-6	PERSON=2.4096977295264285E-7	LOCATION=3.552343185284375E-6	PERSON =7.332410283091652E-8
thách	O	O=0.9999977173851465	ORGANIZATION=8.202804489565355E-7	PERSON=2.703870883313657E-7	LOCATION=1.164353772251232E-6	PERSON =2.7593535690963113E-8
thức	O	O=0.9999894130938513	ORGANIZATION=2.445448315411545E-6	PERSON=5.773551547491596E-7	LOCATION=7.50733577665835E-6	PERSON =5.676690470769811E-8
.	O	O=0.999991511510433	ORGANIZATION=2.9741780209010247E-6	PERSON=1.2611270071675216E-6	LOCATION=3.403772558359276E-6	PERSON =8.494119941899454E-7

